Litigation Name ,Filing Date ,Class Start Date ,Class End Date ,Nature of Case  ,Status,Case Status Date ,Accounting,Secondary Market & Trading,Financial Intermediatary,Non-Accounting disclsoure and misrepresentation,Others
"Ent & Imler CPA Group, PC : Investment Notes offered by Church Extension of the Church of God, Inc.",5/9/2003,4/30/1998,4/30/2002,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,7/21/2006,0,0,0,1,0
eUniverse Inc.,5/9/2003,7/30/2002,5/5/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/19/2005,1,0,0,0,0
"Credit Suisse First Boston Corporation : Synopsys, Inc.",5/13/2003,4/14/1999,6/28/2000,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),DISMISSED,7/28/2004,0,1,0,0,0
Sara Lee Corporation,5/13/2003,8/1/2002,4/24/2003,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,6/27/2013,0,0,0,1,0
"Lehman Brothers Holdings, Inc. : Razorfish, Inc.",5/14/2003,5/24/1999,2/9/2001,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),DISMISSED,8/17/2005,0,1,0,0,0
"Paradigm Medical Industries, Inc.",5/14/2003,4/25/2001,5/14/2003,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,8/29/2005,0,0,0,1,0
"J. Jill Group, Inc.",5/15/2003,2/12/2002,12/4/2002,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,6/22/2004,0,0,0,1,0
"Lehman Brothers, Inc. : RealNetworks, Inc.",5/15/2003,7/1/1999,6/30/2001,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),DISMISSED,4/8/2005,0,1,0,0,0
Blue Rhino Corporation,5/19/2003,8/15/2002,2/5/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,10/7/2005,1,0,0,0,0
"Goldman Sachs & Co. : Exodus Communications, Inc.",5/19/2003,7/1/1999,6/30/2001,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),DISMISSED,12/5/2007,0,1,0,0,0
"Credit Suisse First Boston Corp. : Winstar Communications, Inc.",5/21/2003,1/5/2001,4/5/2001,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),SETTLED,6/8/2006,0,1,0,0,0
"Cryo-Cell International, Inc.",5/22/2003,3/16/1999,5/20/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,2/25/2005,1,0,0,0,0
"Credit Suisse First Boston Corp. : NewPower Holdings, Inc.",5/23/2003,10/5/2000,12/5/2001,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),DISMISSED,6/19/2003,0,1,0,0,0
"divine, Inc.",5/27/2003,11/12/2001,2/14/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,3/20/2007,1,0,0,0,0
Cornerstone Propane Partners LP,5/28/2003,11/2/1999,2/11/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/12/2007,1,0,0,0,0
Tyco International Ltd.,5/28/2003,12/30/2002,3/12/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,10/24/2006,0,0,0,1,0
Daisytek International Corporation,5/30/2003,11/9/2001,4/28/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,11/15/2006,1,0,0,0,0
"e-MedSoft.com (National Century Financial Enterprise, Inc.)",5/30/2003,12/6/2000,2/11/2002,FAILURE OF DISCLOSURE (NON-ACCOUNTING),SETTLED,10/26/2012,0,0,0,1,0
Recoton Corporation,5/30/2003,11/15/1999,8/19/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/24/2007,1,0,0,0,0
Genzyme Corporation : Biosurgery Division common stock,6/2/2003,12/19/2000,5/8/2003,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/29/2007,0,0,0,1,0
"Presstek, Inc.",6/2/2003,12/10/1999,7/16/2001,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,10/1/2004,0,0,0,1,0
"Merrill Lynch & Co., Inc. : Tyco International Ltd.",6/4/2003,9/9/1999,5/28/2003,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),SETTLED,4/22/2008,0,1,0,0,0
Morgan Stanley Dean Witter & Co. : Atmel Corporation,6/5/2003,2/4/2000,7/11/2001,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),DISMISSED,2/4/2004,0,1,0,0,0
Federal Home Loan Mortgage Corporation (Freddie Mac),6/9/2003,1/27/2003,6/9/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,10/27/2006,1,0,0,0,0
Barrick Gold Corporation,6/12/2003,2/14/2002,9/26/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,11/6/2009,1,0,0,0,0
Citigroup Inc. : Class B Salomon Smith Barney Mutual Funds,6/12/2003,6/6/1998,6/12/2003,FAILURE OF DISCLOSURE (MUTUAL FUNDS' MALPRACTICES),DISMISSED,5/4/2007,0,1,0,0,0
UBS Warburg LLC : Interspeed Common Stock,6/12/2003,1/3/2000,7/20/2000,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),SETTLED,8/10/2005,0,1,0,0,0
"Administaff, Inc.",6/13/2003,4/3/2001,7/31/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,3/31/2006,1,0,0,0,0
Guidant Corporation,6/13/2003,8/17/2001,6/12/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,2/14/2005,1,0,0,0,0
North Country Financial Corporation,6/13/2003,11/13/2000,4/15/2003,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,12/6/2004,0,0,0,1,0
"Cree, Inc.",6/16/2003,1/14/2000,6/13/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,8/2/2005,1,0,0,0,0
"UBUY Holdings, Inc. : E-PAWN.COM'S common stock",6/16/2003,1/1/2000,6/30/2000,BROKER-MARKET MANIPULATION,DISMISSED,10/13/2004,0,1,0,0,0
Sears Roebuck Acceptance Corporation : 7% Subordinated Notes,6/17/2003,6/21/2002,10/17/2002,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,5/6/2008,0,0,0,1,0
Central Parking Corporation,6/18/2003,11/4/2002,2/13/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,6/13/2005,1,0,0,0,0
Laboratory Corporation of America Holdings (LabCorp),6/24/2003,2/13/2002,10/3/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,5/18/2006,1,0,0,0,0
"InterMune, Inc.",6/25/2003,1/6/2003,6/11/2003,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,8/29/2005,0,0,0,1,0
"Printcafe Software, Inc.",6/25/2003,6/18/2002,10/22/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,4/7/2006,1,0,0,0,0
"Pediatrix Medical Group, Inc.",6/27/2003,4/17/2002,6/23/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,11/10/2003,1,0,0,0,0
"Singing Machine Company, Inc.",7/2/2003,8/9/2001,6/27/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/27/2005,1,0,0,0,0
PolyMedica Corporation,7/3/2003,7/23/2001,6/30/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,10/29/2003,1,0,0,0,0
Tower Semiconductor Ltd.,7/3/2003,4/1/2002,7/3/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,8/30/2004,0,0,0,1,0
Read-Rite Corporation 2003,7/7/2003,10/30/2001,6/6/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,5/6/2005,1,0,0,0,0
"Matria Healthcare, Inc.",7/17/2003,10/24/2001,6/25/2002,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,9/22/2004,0,0,0,1,0
Crompton Corporation,7/18/2003,10/26/1998,10/8/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/1/2008,1,0,0,0,0
Goldman Sachs Group Inc.,7/18/2003,7/1/1999,5/7/2002,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),SETTLED,12/20/2010,0,1,0,0,0
"Morgan Stanley & Co., Inc.",7/18/2003,7/1/1999,5/6/2002,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),DISMISSED,2/23/2006,0,1,0,0,0
"Tripos, Inc.",7/23/2003,1/9/2002,7/1/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/4/2006,1,0,0,0,0
Credit Suisse First Boston Corp. : Various Securities of the Technology Group,7/24/2003,7/1/1998,12/31/2001,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),DISMISSED,10/24/2003,0,1,0,0,0
"Smithfield Foods, Inc. : Pennexx Foods, Inc. Common Stock",7/24/2003,2/8/2002,6/12/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,6/30/2005,0,0,0,1,0
Tyco International Ltd. : TyCom common stock,7/24/2003,7/26/2000,10/19/2001,FAILURE OF DISCLOSURE (NON-ACCOUNTING),SETTLED,8/25/2010,0,0,0,1,0
"DVI, Inc.",7/25/2003,11/7/2001,6/27/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,1/3/2014,1,0,0,0,0
"Avatar Holdings, Inc. : 7% convertible subordinated notes",7/29/2003,7/1/2003,7/29/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,10/12/2004,0,0,0,1,0
Catalina Marketing Corporation,7/30/2003,1/17/2002,6/30/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/9/2007,1,0,0,0,0
"Impath, Inc.",7/30/2003,2/21/2001,7/29/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,6/9/2005,1,0,0,0,0
"Quest Software, Inc.",7/30/2003,4/30/2002,7/23/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,1/18/2005,1,0,0,0,0
"Solutia, Inc.",7/30/2003,12/16/1998,10/10/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,5/2/2005,1,0,0,0,0
"Stellent, Inc.",7/31/2003,10/2/2001,4/1/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,11/16/2005,1,0,0,0,0
Flowserve Corporation,8/7/2003,10/23/2001,9/27/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,5/11/2010,1,0,0,0,0
"Noven Pharmaceuticals, Inc.",8/7/2003,10/29/2001,4/28/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,3/16/2005,1,0,0,0,0
"CV Therapeutics, Inc.",8/8/2003,5/14/2003,8/1/2003,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,3/9/2007,0,0,0,1,0
FirstEnergy Corporation,8/8/2003,4/24/2002,8/5/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,1/3/2005,1,0,0,0,0
"WebAccess International, Inc.",8/8/2003,6/1/1999,11/30/2002,INSIDER TRADING,SETTLED,3/17/2006,0,1,0,0,0
"Loral Space & Communications, Ltd.",8/11/2003,6/30/2003,7/15/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,2/24/2009,0,0,0,1,0
"Dexia, S.A. (f/k/a Artesia Banking Corporation, S.A.): Lernout & Hauspie Speech Products N.V. common stock or options",8/19/2003,4/28/1998,11/8/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,6/27/2007,1,0,0,0,0
"BearingPoint, Inc.",8/20/2003,10/30/2002,8/13/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/19/2004,1,0,0,0,0
Polaroid Corporation,8/26/2003,4/2/2001,8/16/2001,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,11/20/2006,1,0,0,0,0
SureBeam Corporation,8/27/2003,3/16/2001,8/20/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/19/2006,1,0,0,0,0
"National Australia Bank, Ltd. : American Depository Receipts (ADRs)",8/28/2003,4/1/1999,9/3/2001,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,1/16/2007,0,0,0,1,0
Alstom S.A. : American Depository Receipts (ADRs),8/29/2003,5/26/1999,6/29/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,10/21/2011,1,0,0,0,0
"Check Point Software Technologies, Ltd.",8/29/2003,7/10/2001,4/4/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/2/2007,1,0,0,0,0
Emerson Radio Corporation,9/4/2003,1/29/2003,8/12/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,12/20/2005,1,0,0,0,0
Bank of America Corporation : Nations Funds Trust,9/5/2003,5/3/2001,7/3/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),SETTLED,10/25/2010,0,1,0,0,0
"Constar International, Inc.",9/5/2003,11/14/2002,9/5/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,11/5/2009,0,0,0,1,0
"Janus Capital Group, Inc. : Janus Funds family of funds",9/5/2003,9/5/2000,9/2/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),DISMISSED,11/15/2011,0,1,0,0,0
Strong Financial Corporation : Strong Funds,9/5/2003,10/1/1998,7/3/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),SETTLED,1/10/2011,0,1,0,0,0
Bank One Corporation : Securities of the One Group Family of Funds,9/9/2003,10/1/1998,7/3/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),SETTLED,10/25/2010,0,1,0,0,0
Sealed Air Corporation,9/15/2003,3/27/2000,7/30/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,2/10/2011,1,0,0,0,0
"HealthTronics Surgical Services, Inc.",9/16/2003,1/4/2000,7/25/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/2/2005,1,0,0,0,0
Tropical Sportswear International Corporation,9/16/2003,4/17/2002,1/20/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/11/2006,1,0,0,0,0
"Vertex Pharmaceuticals, Inc.",9/23/2003,3/27/2000,9/24/2001,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,2/24/2005,1,0,0,0,0
"MicroFinancial, Inc.",9/26/2003,2/5/1999,10/30/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,6/14/2006,1,0,0,0,0
"Midway Games, Inc.",9/26/2003,12/11/2001,7/30/2003,ACCOUNTING (OPTION DATING IN THE AMENDED COMPLAINT),DISMISSED,8/31/2004,1,0,0,0,0
DDi Corporation,10/1/2003,12/19/2000,4/29/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,4/2/2007,1,0,0,0,0
Alliance Capital Management Holding L.P. : Alliancebernstein Family of Funds,10/2/2003,10/2/1998,9/29/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),SETTLED,10/4/2012,0,1,0,0,0
Sportsline.com Inc.,10/7/2003,5/15/2001,9/25/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,7/20/2004,1,0,0,0,0
AmeriTrade Holding Corporation,10/10/2003,3/29/1995,9/30/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,8/31/2004,0,0,0,1,0
"LaBranche & Co., Inc.",10/16/2003,1/25/2000,10/15/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,1/22/2009,1,0,0,0,0
Morgan Stanley : Morgan Stanley Family of Funds,10/16/2003,10/1/1999,12/31/2002,FAILURE OF DISCLOSURE (MUTUAL FUNDS' MALPRACTICES),DISMISSED,4/21/2006,0,1,0,0,0
Cambrex Corporation,10/17/2003,10/21/1998,7/25/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,5/6/2008,1,0,0,0,0
Loral Space & Communications Ltd.,10/17/2003,5/14/2003,7/15/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,2/26/2009,1,0,0,0,0
New York Stock Exchange : Specialist Firms,10/17/2003,10/17/1998,10/15/2003,CLASSIC (SPECIALIST FIRMS),SETTLED,8/1/2013,0,0,0,0,1
Van der Moolen Holding N.V. : American Depository Receipts (ADRs),10/20/2003,10/18/2001,10/15/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/7/2006,1,0,0,0,0
"CONSOL Energy, Inc.",10/21/2003,1/24/2002,7/18/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,10/17/2006,1,0,0,0,0
"Marsh & McLennan Companies, Inc. : Putnam Funds Family of Funds",10/21/2003,11/1/1998,9/3/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),ONGOING,10/21/2013,0,1,0,0,0
Goodyear Tire & Rubber Company,10/23/2003,10/23/1998,10/22/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,3/22/2006,1,0,0,0,0
"American Pharmaceutical Partners, Inc.",10/24/2003,2/19/2002,9/24/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,2/24/2005,1,0,0,0,0
"Federated Investors, Inc. : Federated Family of Mutual Funds",10/24/2003,11/1/1998,9/3/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),SETTLED,11/16/2012,0,1,0,0,0
"Alkermes, Inc.",10/29/2003,4/22/1999,7/1/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,10/29/2005,1,0,0,0,0
"Amvescap, PLC and INVESCO Funds Group : INVESCO Family of Funds",10/31/2003,1/1/1998,10/31/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),SETTLED,4/9/2008,0,1,0,0,0
Hewlett-Packard Company,11/3/2003,9/4/2001,11/5/2001,MERGER RELATED FRAUD,DISMISSED,6/16/2006,0,0,1,0,0
"Titan Pharmaceuticals, Inc.",11/4/2003,12/1/1999,7/22/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,12/23/2003,1,0,0,0,0
"Merck & Co., Inc.",11/6/2003,5/22/1999,10/22/2003,PRODUCT LIABILITY RELATED FRAUD,ONGOING,5/16/2013,0,0,0,0,1
PMA Capital Corporation,11/6/2003,10/16/2002,11/4/2003,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,12/12/2007,0,0,0,1,0
"The Bear Stearns Companies, Inc. : Janus and Putnam Families of Mutual Funds",11/7/2003,11/1/1998,7/3/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),SETTLED,11/16/2012,0,1,0,0,0
"Boston Communications Group, Inc.",11/10/2003,6/12/2003,7/16/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,6/8/2004,0,0,0,1,0
"Gilead Sciences, Inc.",11/10/2003,7/14/2003,10/28/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,11/5/2010,1,0,0,0,0
Service Corporation International,11/10/2003,1/27/1999,4/18/2002,FAILURE OF DISCLOSURE (NON-ACCOUNTING),DISMISSED,9/1/2010,0,0,0,1,0
Aerosonic Corporation,11/12/2003,11/13/1998,3/17/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,11/30/2005,1,0,0,0,0
Biovail Corporation,11/12/2003,5/17/2002,10/30/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/8/2008,1,0,0,0,0
Morgan Stanley : Van Kampen and Morgan Stanley family of funds,11/12/2003,10/1/1999,12/31/2002,FAILURE OF DISCLOSURE (MUTUAL FUNDS' MALPRACTICES),DISMISSED,4/21/2006,0,1,0,0,0
"Watson Pharmaceuticals, Inc.",11/12/2003,11/2/1999,11/13/2001,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,9/3/2004,1,0,0,0,0
"Allegiance Telecom, Inc.",11/13/2003,4/24/2001,2/19/2002,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,1/14/2011,0,0,0,1,0
"Fred Alger Management, Inc. : Alger Funds Family of Funds",11/13/2003,11/1/1998,9/3/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),SETTLED,11/13/2012,0,1,0,0,0
Finova Capital Corporation : The Thaxton Entities,11/14/2003,11/14/2003,11/14/2003,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,1/26/2007,0,0,0,1,0
Friedman's Inc.,11/14/2003,1/26/2000,11/11/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,2/24/2009,1,0,0,0,0
"Pilgrim Baxter & Associates, Ltd. : PBHG Family of Funds",11/14/2003,11/13/1998,11/13/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),SETTLED,10/4/2012,0,1,0,0,0
"PriceSmart, Inc.",11/17/2003,12/20/2001,11/7/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/29/2005,1,0,0,0,0
"Clean Harbors, Inc.",11/18/2003,11/19/2002,8/14/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,11/30/2004,1,0,0,0,0
"Starwood Hotels & Resorts Worldwide, Inc. : Limited Partners of Westin Hotels Limited Partnership",11/18/2003,11/4/2003,11/18/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,8/10/2004,0,0,0,1,0
"Alamosa Holdings, Inc.",11/19/2003,1/9/2001,6/13/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,6/27/2006,1,0,0,0,0
"Best Buy Company, Inc.",11/20/2003,1/9/2002,8/7/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,4/12/2005,1,0,0,0,0
"Charles Schwab Corporation and U.S. Trust Corporation, N.A. : Excelsior Family of Mutual Funds",11/20/2003,11/23/1998,11/14/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),SETTLED,7/3/2007,0,1,0,0,0
"Portal Software, Inc.",11/20/2003,5/20/2003,11/13/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,11/26/2007,1,0,0,0,0
XL Capital Ltd.,11/20/2003,11/1/2001,10/16/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,7/26/2007,0,0,0,1,0
"LeapFrog Enterprises, Inc.",12/2/2003,8/20/2003,10/21/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,9/29/2008,1,0,0,0,0
Cerus Corporation,12/8/2003,10/25/2000,9/3/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,2/16/2007,1,0,0,0,0
"FAO, Inc.",12/8/2003,8/27/2003,11/7/2003,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,5/23/2005,0,0,0,1,0
"Nasdaq Stock Market, Inc. : Corinthian Colleges, Inc.",12/8/2003,12/5/2003,12/5/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,5/6/2004,0,0,0,1,0
Career Education Corporation,12/9/2003,4/22/2003,12/2/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,9/29/2008,1,0,0,0,0
"SonicWALL, Inc.",12/9/2003,10/17/2000,4/3/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,4/7/2004,1,0,0,0,0
"Silicon Image, Inc.",12/11/2003,4/15/2002,11/14/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,4/7/2004,1,0,0,0,0
"Sun Life Financial, Inc. and Massachusetts Financial Services Co. : MFS Family of Mutual Funds",12/11/2003,12/15/1998,12/8/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),SETTLED,11/7/2007,0,1,0,0,0
Levi Strauss & Co. : Bonds,12/12/2003,1/10/2001,10/9/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,11/6/2009,1,0,0,0,0
"Redback Networks, Inc.",12/15/2003,4/12/2000,10/10/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,12/4/2007,0,0,0,1,0
Virbac Corporation,12/16/2003,5/3/2001,11/12/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/1/2005,1,0,0,0,0
"Network Engines, Inc.",12/17/2003,11/6/2003,12/10/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/26/2006,1,0,0,0,0
"The Topaz Group, Inc.",12/18/2003,3/21/2002,8/20/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,4/7/2005,0,0,0,1,0
"Security Trust Company and Capital Management Investors Holdings, Inc. : Various Mutual Funds",12/19/2003,5/22/2000,7/3/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),DISMISSED,5/2/2005,0,1,0,0,0
"Dynacq Healthcare, Inc.",12/24/2003,1/14/2003,12/18/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,1/10/2007,1,0,0,0,0
Ibis Technology Corporation,12/29/2003,10/2/2003,12/12/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,4/26/2007,1,0,0,0,0
"American Physicians Capital, Inc.",12/30/2003,2/13/2003,11/6/2003,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,1/11/2005,0,0,0,1,0
Biopure Corporation,12/30/2003,3/17/2003,12/24/2003,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,5/16/2007,0,0,0,1,0
"Security Brokerage, Inc. : AllianceBernstein and Massachusetts Financial Services (MFS) Family of Mutual Funds",12/31/2003,1/1/2001,9/30/2003,MUTUAL FUND (MARKET TIMING RE: OPEN-ENDED FUNDS),DISMISSED,6/4/2004,0,1,0,0,0
"Parmalat Finanziaria, SpA.",1/5/2004,1/5/1999,12/29/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,3/11/2010,1,0,0,0,0
Charles Schwab Corporation,1/7/2004,1/1/2001,11/13/2003,MUTUAL FUND (MARKET TIMING RE: MUTUAL FUND COMPANY'S SHARES),SETTLED,10/25/2010,0,1,0,0,0
"Organogenesis, Inc.",1/7/2004,11/15/1999,1/30/2002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,4/19/2007,1,0,0,0,0
"Micromuse, Inc.",1/12/2004,1/20/2000,12/29/2003,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,10/15/2008,1,0,0,0,0
"Ryland Group, Inc.",1/15/2004,10/22/2003,1/7/2004,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/15/2008,0,0,0,1,0
